"Country or Area","Year","Item","Value"
"France","2018","Gross Domestic Product (GDP)","2564107584102.09"
"France","2017","Gross Domestic Product (GDP)","2520629730191.63"
"France","2016","Gross Domestic Product (GDP)","2464917595622.75"
"France","2015","Gross Domestic Product (GDP)","2438207896251.84"
"France","2014","Gross Domestic Product (GDP)","2411371445829.83"
"Germany","2018","Gross Domestic Product (GDP)","3573944902775.84"
"Germany","2017","Gross Domestic Product (GDP)","3520176103193.62"
"Germany","2016","Gross Domestic Product (GDP)","3435490237197.23"
"Germany","2015","Gross Domestic Product (GDP)","3360549973888.58"
"Germany","2014","Gross Domestic Product (GDP)","3303084566007.88"

